name,coronaOccupancy,normalOccupancy,isolatedTeam,lastUpdate,date
אוגוסטה ויקטוריה,,,1,2020-10-20T15:52:03.357Z,2020-10-20T15:52:03.357Z
שערי צדק,,92.38329315185547,20,2020-10-20T15:52:03.357Z,2020-10-20T15:52:03.357Z
אסותא אשדוד,,,6,2020-10-20T15:52:03.357Z,2020-10-20T15:52:03.357Z
בני ציון,,78.75288391113281,41,2020-10-20T15:52:03.357Z,2020-10-20T15:52:03.357Z
ברזילי,,71.16666412353516,12,2020-10-20T15:52:03.357Z,2020-10-20T15:52:03.357Z
הדסה עין כרם,,109.4466934204102,26,2020-10-20T15:52:03.357Z,2020-10-20T15:52:03.357Z
הכרמל,,73.00613403320312,10,2020-10-20T15:52:03.357Z,2020-10-20T15:52:03.357Z
הלל יפה,,84.46601867675781,14,2020-10-20T15:52:03.357Z,2020-10-20T15:52:03.357Z
המרכזי בעמק,,73.27586364746094,59,2020-10-20T15:52:03.357Z,2020-10-20T15:52:03.357Z
המשפחה הקדושה,,,0,2020-10-20T15:52:03.357Z,2020-10-20T15:52:03.357Z
הסקוטי,,96.45390319824219,1,2020-10-20T15:52:03.357Z,2020-10-20T15:52:03.357Z
השרון ק. גולדה,,65.97510528564453,12,2020-10-20T15:52:03.357Z,2020-10-20T15:52:03.357Z
וולפסון,,66.47145080566406,6,2020-10-20T15:52:03.357Z,2020-10-20T15:52:03.357Z
זיו צפת,,67.14697265625,3,2020-10-20T15:52:03.357Z,2020-10-20T15:52:03.357Z
לניאדו,,88.30083465576172,24,2020-10-20T15:52:03.357Z,2020-10-20T15:52:03.357Z
אל מקאסד,,,0,2020-10-20T15:52:03.357Z,2020-10-20T15:52:03.357Z
מעייני הישועה,,82.42811584472656,9,2020-10-20T15:52:03.357Z,2020-10-20T15:52:03.357Z
נהריה,,78.5615463256836,23,2020-10-20T15:52:03.357Z,2020-10-20T15:52:03.357Z
סוראסקי,,102.9035034179688,29,2020-10-20T15:52:03.357Z,2020-10-20T15:52:03.357Z
סורוקה,,70.98175811767578,11,2020-10-20T15:52:03.357Z,2020-10-20T15:52:03.357Z
סנט ג'וזף,,,0,2020-10-20T15:52:03.357Z,2020-10-20T15:52:03.357Z
סנט וינסנט,,58.95522308349609,3,2020-10-20T15:52:03.357Z,2020-10-20T15:52:03.357Z
פוריה,,62.53520965576172,11,2020-10-20T15:52:03.357Z,2020-10-20T15:52:03.357Z
קפלן,,88.4476547241211,12,2020-10-20T15:52:03.357Z,2020-10-20T15:52:03.357Z
רבין ק. בילינסון,,91.49700927734375,50,2020-10-20T15:52:03.357Z,2020-10-20T15:52:03.357Z
"רמב""ם",,84.8453598022461,28,2020-10-20T15:52:03.357Z,2020-10-20T15:52:03.357Z
שיבא,,92.7848129272461,29,2020-10-20T15:52:03.357Z,2020-10-20T15:52:03.357Z
שמיר (אסף הרופא),,65.65656280517578,27,2020-10-20T15:52:03.357Z,2020-10-20T15:52:03.357Z
שניידר,,,0,2020-10-20T15:52:03.357Z,2020-10-20T15:52:03.357Z
מאיר,,76.09254455566406,28,2020-10-20T15:52:03.357Z,2020-10-20T15:52:03.357Z
