section,male,female,lastUpdate,date
0,,1,2020-11-05T17:30:08.480Z,2020-11-05T17:30:08.480Z
10,1.0,3,2020-11-05T17:30:08.480Z,2020-11-05T17:30:08.480Z
20,1.0,2,2020-11-05T17:30:08.480Z,2020-11-05T17:30:08.480Z
30,11.0,6,2020-11-05T17:30:08.480Z,2020-11-05T17:30:08.480Z
40,19.0,9,2020-11-05T17:30:08.480Z,2020-11-05T17:30:08.480Z
50,86.0,45,2020-11-05T17:30:08.480Z,2020-11-05T17:30:08.480Z
60,227.0,98,2020-11-05T17:30:08.480Z,2020-11-05T17:30:08.480Z
70,435.0,211,2020-11-05T17:30:08.480Z,2020-11-05T17:30:08.480Z
80,509.0,410,2020-11-05T17:30:08.480Z,2020-11-05T17:30:08.480Z
90,228.0,335,2020-11-05T17:30:08.480Z,2020-11-05T17:30:08.480Z
