section,male,female,lastUpdate,date
0,0,0,2020-11-11T07:02:12.723Z,2020-11-11T07:02:12.723Z
10,1,1,2020-11-11T07:02:12.723Z,2020-11-11T07:02:12.723Z
20,1,2,2020-11-11T07:02:12.723Z,2020-11-11T07:02:12.723Z
30,1,3,2020-11-11T07:02:12.723Z,2020-11-11T07:02:12.723Z
40,16,9,2020-11-11T07:02:12.723Z,2020-11-11T07:02:12.723Z
50,30,17,2020-11-11T07:02:12.723Z,2020-11-11T07:02:12.723Z
60,52,27,2020-11-11T07:02:12.723Z,2020-11-11T07:02:12.723Z
70,42,41,2020-11-11T07:02:12.723Z,2020-11-11T07:02:12.723Z
80,25,22,2020-11-11T07:02:12.723Z,2020-11-11T07:02:12.723Z
90,4,9,2020-11-11T07:02:12.723Z,2020-11-11T07:02:12.723Z
