name,coronaOccupancy,normalOccupancy,isolatedTeam,lastUpdate,date
שיבא,,96.26582336425781,12,2020-11-16T03:51:48.447Z,2020-11-16T03:51:48.447Z
יוספטל,,38.46154022216797,0,2020-11-16T03:51:48.447Z,2020-11-16T03:51:48.447Z
שמיר,,61.27946090698242,9,2020-11-16T03:51:48.447Z,2020-11-16T03:51:48.447Z
וולפסון,,59.29721832275391,14,2020-11-16T03:51:48.447Z,2020-11-16T03:51:48.447Z
זיו צפת,,76.3688735961914,5,2020-11-16T03:51:48.447Z,2020-11-16T03:51:48.447Z
הלל יפה,,80.38835144042969,2,2020-11-16T03:51:48.447Z,2020-11-16T03:51:48.447Z
נהריה,,73.1673583984375,10,2020-11-16T03:51:48.447Z,2020-11-16T03:51:48.447Z
ברזילי,,70.83333587646484,2,2020-11-16T03:51:48.447Z,2020-11-16T03:51:48.447Z
פוריה,,53.23943710327148,4,2020-11-16T03:51:48.447Z,2020-11-16T03:51:48.447Z
סוראסקי,,95.5593490600586,11,2020-11-16T03:51:48.447Z,2020-11-16T03:51:48.447Z
בני ציון,,78.75288391113281,15,2020-11-16T03:51:48.447Z,2020-11-16T03:51:48.447Z
רבין ק. בילינסון,,84.19161987304688,7,2020-11-16T03:51:48.447Z,2020-11-16T03:51:48.447Z
סורוקה,,68.46220397949219,7,2020-11-16T03:51:48.447Z,2020-11-16T03:51:48.447Z
מאיר,,78.02056884765625,8,2020-11-16T03:51:48.447Z,2020-11-16T03:51:48.447Z
קפלן,,99.2779769897461,12,2020-11-16T03:51:48.447Z,2020-11-16T03:51:48.447Z
"רמב""ם",,83.8144302368164,42,2020-11-16T03:51:48.447Z,2020-11-16T03:51:48.447Z
הכרמל,,72.18814086914062,6,2020-11-16T03:51:48.447Z,2020-11-16T03:51:48.447Z
השרון ק. גולדה,,46.47303009033203,2,2020-11-16T03:51:48.447Z,2020-11-16T03:51:48.447Z
הדסה עין כרם,,100.9446716308594,17,2020-11-16T03:51:48.447Z,2020-11-16T03:51:48.447Z
הסקוטי,,101.5037612915039,3,2020-11-16T03:51:48.447Z,2020-11-16T03:51:48.447Z
המשפחה הקדושה,,,0,2020-11-16T03:51:48.447Z,2020-11-16T03:51:48.447Z
סנט ג'וזף,,,0,2020-11-16T03:51:48.447Z,2020-11-16T03:51:48.447Z
שערי צדק,,94.96314239501953,13,2020-11-16T03:51:48.447Z,2020-11-16T03:51:48.447Z
אל מקאסד,,,0,2020-11-16T03:51:48.447Z,2020-11-16T03:51:48.447Z
לניאדו,,87.46517944335938,4,2020-11-16T03:51:48.447Z,2020-11-16T03:51:48.447Z
אוגוסטה ויקטוריה,,,0,2020-11-16T03:51:48.447Z,2020-11-16T03:51:48.447Z
מעייני הישועה,,91.69329071044922,0,2020-11-16T03:51:48.447Z,2020-11-16T03:51:48.447Z
אסותא אשדוד,,,1,2020-11-16T03:51:48.447Z,2020-11-16T03:51:48.447Z
שניידר,,,0,2020-11-16T03:51:48.447Z,2020-11-16T03:51:48.447Z
סנט וינסנט,,68.6567153930664,6,2020-11-16T03:51:48.447Z,2020-11-16T03:51:48.447Z
המרכזי בעמק,,74.48275756835938,15,2020-11-16T03:51:48.447Z,2020-11-16T03:51:48.447Z
