section,male,female,lastUpdate,date
0,0,0,2020-11-17T19:35:28.310Z,2020-11-17T19:35:28.310Z
10,2,0,2020-11-17T19:35:28.310Z,2020-11-17T19:35:28.310Z
20,0,2,2020-11-17T19:35:28.310Z,2020-11-17T19:35:28.310Z
30,0,1,2020-11-17T19:35:28.310Z,2020-11-17T19:35:28.310Z
40,6,1,2020-11-17T19:35:28.310Z,2020-11-17T19:35:28.310Z
50,11,6,2020-11-17T19:35:28.310Z,2020-11-17T19:35:28.310Z
60,24,8,2020-11-17T19:35:28.310Z,2020-11-17T19:35:28.310Z
70,26,20,2020-11-17T19:35:28.310Z,2020-11-17T19:35:28.310Z
80,5,8,2020-11-17T19:35:28.310Z,2020-11-17T19:35:28.310Z
90,2,2,2020-11-17T19:35:28.310Z,2020-11-17T19:35:28.310Z
