section,male,female,lastUpdate,date
0,0,4,2021-03-18T19:50:37.700Z,2021-03-18T19:50:37.700Z
10,1,2,2021-03-18T19:50:37.700Z,2021-03-18T19:50:37.700Z
20,9,9,2021-03-18T19:50:37.700Z,2021-03-18T19:50:37.700Z
30,13,30,2021-03-18T19:50:37.700Z,2021-03-18T19:50:37.700Z
40,43,23,2021-03-18T19:50:37.700Z,2021-03-18T19:50:37.700Z
50,60,42,2021-03-18T19:50:37.700Z,2021-03-18T19:50:37.700Z
60,63,64,2021-03-18T19:50:37.700Z,2021-03-18T19:50:37.700Z
70,54,42,2021-03-18T19:50:37.700Z,2021-03-18T19:50:37.700Z
80,29,38,2021-03-18T19:50:37.700Z,2021-03-18T19:50:37.700Z
90,9,5,2021-03-18T19:50:37.700Z,2021-03-18T19:50:37.700Z
