date,new_hospitalized,Counthospitalized,Counthospitalized_without_release,CountHardStatus,CountMediumStatus,CountEasyStatus,CountBreath,CountDeath,total_beds,StandardOccupancy,num_visits,patients_home,patients_hotel,CountBreathCum,CountDeathCum,CountCriticalStatus,CountSeriousCriticalCum,serious_critical_new,lastUpdate
2020-03-02T00:00:00.000Z,3,10,10,0,0,10,0,0,2892,0.003457814661134163,5429,-243,0,0,0,0,0,0,2021-04-19T12:32:34.127Z
2020-03-03T00:00:00.000Z,0,10,10,0,0,10,0,0,2892,0.003457814661134163,7589,-240,0,0,0,0,0,0,2021-04-19T12:32:34.127Z
2020-03-04T00:00:00.000Z,3,12,11,0,0,12,0,0,2892,0.004149377593360996,6755,-241,0,0,0,0,0,0,2021-04-19T12:32:34.127Z
2020-03-05T00:00:00.000Z,2,13,13,1,0,12,0,0,2892,0.004495159059474412,6836,-241,0,0,0,0,1,1,2021-04-19T12:32:34.127Z
2020-03-06T00:00:00.000Z,3,16,16,2,0,14,1,0,2892,0.005532503457814661,4978,-240,0,1,0,0,2,1,2021-04-19T12:32:34.127Z
2020-03-07T00:00:00.000Z,3,19,19,3,0,16,2,0,2892,0.00656984785615491,4682,-239,0,2,0,0,3,1,2021-04-19T12:32:34.127Z
2020-03-08T00:00:00.000Z,8,26,26,5,0,21,4,0,2892,0.008990318118948824,7075,-237,0,4,0,0,5,2,2021-04-19T12:32:34.127Z
2020-03-09T00:00:00.000Z,16,40,40,5,0,35,4,0,2892,0.01383125864453665,6009,-247,0,4,0,0,5,0,2021-04-19T12:32:34.127Z
2020-03-10T00:00:00.000Z,19,61,61,6,0,55,5,0,2892,0.0210926694329184,5803,-235,0,5,0,0,6,1,2021-04-19T12:32:34.127Z
2020-03-11T00:00:00.000Z,25,84,83,7,1,76,6,0,2892,0.02904564315352697,5719,-238,0,6,0,0,7,1,2021-04-19T12:32:34.127Z
2020-03-12T00:00:00.000Z,23,107,105,7,1,99,6,0,2892,0.03699861687413555,5769,-238,0,6,0,0,7,0,2021-04-19T12:32:34.127Z
2020-03-13T00:00:00.000Z,23,127,126,7,5,115,6,0,2892,0.04391424619640387,3985,-225,0,6,0,0,7,0,2021-04-19T12:32:34.127Z
2020-03-14T00:00:00.000Z,41,167,165,6,5,156,4,0,2892,0.05774550484094053,3550,-235,0,6,0,0,8,1,2021-04-19T12:32:34.127Z
2020-03-15T00:00:00.000Z,41,206,204,9,7,190,6,0,2892,0.07123098201936376,5336,-235,0,8,0,0,11,3,2021-04-19T12:32:34.127Z
2020-03-16T00:00:00.000Z,24,225,219,11,6,208,7,0,2892,0.07780082987551867,4620,-177,0,9,0,0,13,2,2021-04-19T12:32:34.127Z
2020-03-17T00:00:00.000Z,47,260,260,12,7,241,7,0,2892,0.08990318118948824,4223,-126,0,9,0,0,14,1,2021-04-19T12:32:34.127Z
2020-03-18T00:00:00.000Z,55,313,275,16,12,285,7,0,2892,0.1082295988934993,3764,-18,0,9,0,0,18,4,2021-04-19T12:32:34.127Z
2020-03-19T00:00:00.000Z,30,301,269,21,12,268,12,0,2892,0.1040802213001383,3927,120,0,14,0,0,23,5,2021-04-19T12:32:34.127Z
2020-03-20T00:00:00.000Z,30,293,255,23,15,255,12,1,2892,0.101313969571231,3096,300,0,14,1,0,26,3,2021-04-19T12:32:34.127Z
2020-03-21T00:00:00.000Z,34,284,281,27,22,235,15,0,2892,0.09820193637621023,2791,483,0,17,1,0,30,4,2021-04-19T12:32:34.127Z
2020-03-22T00:00:00.000Z,54,333,314,38,33,262,22,0,2892,0.1151452282157676,4359,700,0,24,1,0,41,11,2021-04-19T12:32:34.127Z
2020-03-23T00:00:00.000Z,58,363,331,44,37,282,24,0,2892,0.1255186721991701,3905,1029,0,28,1,0,48,7,2021-04-19T12:32:34.127Z
2020-03-24T00:00:00.000Z,81,408,354,48,49,311,26,3,2892,0.1410788381742739,3835,1421,0,30,4,0,55,7,2021-04-19T12:32:34.127Z
2020-03-25T00:00:00.000Z,81,428,411,52,54,322,28,1,2892,0.1479944674965422,3533,1782,0,33,5,0,60,5,2021-04-19T12:32:34.127Z
2020-03-26T00:00:00.000Z,81,484,430,56,67,361,31,5,2892,0.1673582295988935,3789,2268,0,39,10,0,69,10,2021-04-19T12:32:34.127Z
2020-03-27T00:00:00.000Z,110,533,483,67,71,395,37,2,2892,0.1843015214384509,3129,2629,0,46,12,0,82,13,2021-04-19T12:32:34.127Z
2020-03-28T00:00:00.000Z,52,528,497,70,83,375,41,1,2892,0.1825726141078838,2721,3084,0,51,13,0,87,5,2021-04-19T12:32:34.127Z
2020-03-29T00:00:00.000Z,69,557,530,80,88,389,50,3,2892,0.1926002766251729,4118,3564,0,62,16,0,101,14,2021-04-19T12:32:34.127Z
2020-03-30T00:00:00.000Z,122,634,585,90,105,439,55,1,2892,0.219225449515906,3750,4023,0,70,17,0,113,13,2021-04-19T12:32:34.127Z
2020-03-31T00:00:00.000Z,110,684,641,99,113,472,64,4,2892,0.2365145228215768,3849,4658,0,81,21,0,128,15,2021-04-19T12:32:34.127Z
2020-04-01T00:00:00.000Z,147,773,731,111,143,519,73,8,2892,0.2672890733056708,3912,4535,689,95,29,0,148,21,2021-04-19T12:32:34.127Z
2020-04-02T00:00:00.000Z,115,818,732,113,145,560,79,9,2892,0.2828492392807745,4149,5133,720,106,38,0,160,12,2021-04-19T12:32:34.127Z
2020-04-03T00:00:00.000Z,97,815,726,131,159,525,93,5,2892,0.2818118948824343,3373,5679,717,126,43,1,182,24,2021-04-19T12:32:34.127Z
2020-04-04T00:00:00.000Z,73,790,752,140,170,480,107,6,2892,0.2731673582295989,3031,6022,718,143,49,1,197,17,2021-04-19T12:32:34.127Z
2020-04-05T00:00:00.000Z,99,826,740,135,193,498,107,7,2892,0.2856154910096819,4356,6532,693,150,56,1,203,6,2021-04-19T12:32:34.127Z
