section,male,female,lastUpdate,date
0,,1,2020-11-23T11:39:27.770Z,2020-11-23T11:39:27.770Z
10,1.0,2,2020-11-23T11:39:27.770Z,2020-11-23T11:39:27.770Z
20,1.0,5,2020-11-23T11:39:27.770Z,2020-11-23T11:39:27.770Z
30,11.0,7,2020-11-23T11:39:27.770Z,2020-11-23T11:39:27.770Z
40,20.0,11,2020-11-23T11:39:27.770Z,2020-11-23T11:39:27.770Z
50,95.0,52,2020-11-23T11:39:27.770Z,2020-11-23T11:39:27.770Z
60,250.0,105,2020-11-23T11:39:27.770Z,2020-11-23T11:39:27.770Z
70,468.0,229,2020-11-23T11:39:27.770Z,2020-11-23T11:39:27.770Z
80,528.0,434,2020-11-23T11:39:27.770Z,2020-11-23T11:39:27.770Z
90,232.0,359,2020-11-23T11:39:27.770Z,2020-11-23T11:39:27.770Z
