section,male,female,lastUpdate,date
0,0,2,2021-03-04T15:28:23.620Z,2021-03-04T15:28:23.620Z
10,1,3,2021-03-04T15:28:23.620Z,2021-03-04T15:28:23.620Z
20,11,7,2021-03-04T15:28:23.620Z,2021-03-04T15:28:23.620Z
30,29,22,2021-03-04T15:28:23.620Z,2021-03-04T15:28:23.620Z
40,46,27,2021-03-04T15:28:23.620Z,2021-03-04T15:28:23.620Z
50,78,56,2021-03-04T15:28:23.620Z,2021-03-04T15:28:23.620Z
60,97,60,2021-03-04T15:28:23.620Z,2021-03-04T15:28:23.620Z
70,64,62,2021-03-04T15:28:23.620Z,2021-03-04T15:28:23.620Z
80,36,57,2021-03-04T15:28:23.620Z,2021-03-04T15:28:23.620Z
90,11,14,2021-03-04T15:28:23.620Z,2021-03-04T15:28:23.620Z
