date,amount,lastUpdate
,2,2021-01-12T19:56:16.893Z
2020-02-12T00:00:00.000Z,0,2021-01-12T19:56:16.893Z
2020-02-13T00:00:00.000Z,0,2021-01-12T19:56:16.893Z
2020-02-14T00:00:00.000Z,0,2021-01-12T19:56:16.893Z
2020-02-15T00:00:00.000Z,0,2021-01-12T19:56:16.893Z
2020-02-16T00:00:00.000Z,0,2021-01-12T19:56:16.893Z
2020-02-17T00:00:00.000Z,0,2021-01-12T19:56:16.893Z
2020-02-18T00:00:00.000Z,0,2021-01-12T19:56:16.893Z
2020-02-19T00:00:00.000Z,0,2021-01-12T19:56:16.893Z
2020-02-20T00:00:00.000Z,0,2021-01-12T19:56:16.893Z
2020-02-21T00:00:00.000Z,0,2021-01-12T19:56:16.893Z
2020-02-22T00:00:00.000Z,0,2021-01-12T19:56:16.893Z
2020-02-23T00:00:00.000Z,0,2021-01-12T19:56:16.893Z
2020-02-24T00:00:00.000Z,0,2021-01-12T19:56:16.893Z
2020-02-25T00:00:00.000Z,0,2021-01-12T19:56:16.893Z
2020-02-26T00:00:00.000Z,0,2021-01-12T19:56:16.893Z
2020-02-27T00:00:00.000Z,0,2021-01-12T19:56:16.893Z
2020-02-28T00:00:00.000Z,0,2021-01-12T19:56:16.893Z
2020-02-29T00:00:00.000Z,0,2021-01-12T19:56:16.893Z
2020-03-01T00:00:00.000Z,0,2021-01-12T19:56:16.893Z
2020-03-02T00:00:00.000Z,0,2021-01-12T19:56:16.893Z
2020-03-03T00:00:00.000Z,0,2021-01-12T19:56:16.893Z
2020-03-04T00:00:00.000Z,0,2021-01-12T19:56:16.893Z
2020-03-05T00:00:00.000Z,0,2021-01-12T19:56:16.893Z
2020-03-06T00:00:00.000Z,0,2021-01-12T19:56:16.893Z
2020-03-07T00:00:00.000Z,0,2021-01-12T19:56:16.893Z
2020-03-08T00:00:00.000Z,0,2021-01-12T19:56:16.893Z
2020-03-09T00:00:00.000Z,0,2021-01-12T19:56:16.893Z
2020-03-10T00:00:00.000Z,0,2021-01-12T19:56:16.893Z
2020-03-11T00:00:00.000Z,0,2021-01-12T19:56:16.893Z
2020-03-12T00:00:00.000Z,0,2021-01-12T19:56:16.893Z
2020-03-13T00:00:00.000Z,1,2021-01-12T19:56:16.893Z
2020-03-14T00:00:00.000Z,0,2021-01-12T19:56:16.893Z
2020-03-15T00:00:00.000Z,0,2021-01-12T19:56:16.893Z
2020-03-16T00:00:00.000Z,0,2021-01-12T19:56:16.893Z
2020-03-17T00:00:00.000Z,2,2021-01-12T19:56:16.893Z
2020-03-18T00:00:00.000Z,2,2021-01-12T19:56:16.893Z
2020-03-19T00:00:00.000Z,4,2021-01-12T19:56:16.893Z
2020-03-20T00:00:00.000Z,1,2021-01-12T19:56:16.893Z
2020-03-21T00:00:00.000Z,1,2021-01-12T19:56:16.893Z
2020-03-22T00:00:00.000Z,4,2021-01-12T19:56:16.893Z
2020-03-23T00:00:00.000Z,6,2021-01-12T19:56:16.893Z
2020-03-24T00:00:00.000Z,5,2021-01-12T19:56:16.893Z
2020-03-25T00:00:00.000Z,6,2021-01-12T19:56:16.893Z
2020-03-26T00:00:00.000Z,10,2021-01-12T19:56:16.893Z
2020-03-27T00:00:00.000Z,18,2021-01-12T19:56:16.893Z
2020-03-28T00:00:00.000Z,9,2021-01-12T19:56:16.893Z
2020-03-29T00:00:00.000Z,15,2021-01-12T19:56:16.893Z
2020-03-30T00:00:00.000Z,35,2021-01-12T19:56:16.893Z
2020-03-31T00:00:00.000Z,47,2021-01-12T19:56:16.893Z
2020-04-01T00:00:00.000Z,35,2021-01-12T19:56:16.893Z
2020-04-02T00:00:00.000Z,95,2021-01-12T19:56:16.893Z
2020-04-03T00:00:00.000Z,58,2021-01-12T19:56:16.893Z
2020-04-04T00:00:00.000Z,57,2021-01-12T19:56:16.893Z
2020-04-05T00:00:00.000Z,106,2021-01-12T19:56:16.893Z
2020-04-06T00:00:00.000Z,125,2021-01-12T19:56:16.893Z
2020-04-07T00:00:00.000Z,124,2021-01-12T19:56:16.893Z
2020-04-08T00:00:00.000Z,123,2021-01-12T19:56:16.893Z
2020-04-09T00:00:00.000Z,118,2021-01-12T19:56:16.893Z
2020-04-10T00:00:00.000Z,142,2021-01-12T19:56:16.893Z
2020-04-11T00:00:00.000Z,135,2021-01-12T19:56:16.893Z
2020-04-12T00:00:00.000Z,281,2021-01-12T19:56:16.893Z
2020-04-13T00:00:00.000Z,301,2021-01-12T19:56:16.893Z
2020-04-14T00:00:00.000Z,312,2021-01-12T19:56:16.893Z
2020-04-15T00:00:00.000Z,297,2021-01-12T19:56:16.893Z
2020-04-16T00:00:00.000Z,344,2021-01-12T19:56:16.893Z
2020-04-17T00:00:00.000Z,372,2021-01-12T19:56:16.893Z
2020-04-18T00:00:00.000Z,258,2021-01-12T19:56:16.893Z
2020-04-19T00:00:00.000Z,399,2021-01-12T19:56:16.893Z
2020-04-20T00:00:00.000Z,466,2021-01-12T19:56:16.893Z
2020-04-21T00:00:00.000Z,387,2021-01-12T19:56:16.893Z
2020-04-22T00:00:00.000Z,412,2021-01-12T19:56:16.893Z
2020-04-23T00:00:00.000Z,349,2021-01-12T19:56:16.893Z
2020-04-24T00:00:00.000Z,356,2021-01-12T19:56:16.893Z
2020-04-25T00:00:00.000Z,388,2021-01-12T19:56:16.893Z
2020-04-26T00:00:00.000Z,445,2021-01-12T19:56:16.893Z
2020-04-27T00:00:00.000Z,482,2021-01-12T19:56:16.893Z
2020-04-28T00:00:00.000Z,578,2021-01-12T19:56:16.893Z
2020-04-29T00:00:00.000Z,365,2021-01-12T19:56:16.893Z
2020-04-30T00:00:00.000Z,448,2021-01-12T19:56:16.893Z
2020-05-01T00:00:00.000Z,427,2021-01-12T19:56:16.893Z
2020-05-02T00:00:00.000Z,301,2021-01-12T19:56:16.893Z
2020-05-03T00:00:00.000Z,314,2021-01-12T19:56:16.893Z
2020-05-04T00:00:00.000Z,269,2021-01-12T19:56:16.893Z
2020-05-05T00:00:00.000Z,328,2021-01-12T19:56:16.893Z
2020-05-06T00:00:00.000Z,268,2021-01-12T19:56:16.893Z
2020-05-07T00:00:00.000Z,239,2021-01-12T19:56:16.893Z
2020-05-08T00:00:00.000Z,231,2021-01-12T19:56:16.893Z
2020-05-09T00:00:00.000Z,97,2021-01-12T19:56:16.893Z
2020-05-10T00:00:00.000Z,177,2021-01-12T19:56:16.893Z
2020-05-11T00:00:00.000Z,340,2021-01-12T19:56:16.893Z
2020-05-12T00:00:00.000Z,268,2021-01-12T19:56:16.893Z
2020-05-13T00:00:00.000Z,184,2021-01-12T19:56:16.893Z
2020-05-14T00:00:00.000Z,244,2021-01-12T19:56:16.893Z
2020-05-15T00:00:00.000Z,165,2021-01-12T19:56:16.893Z
2020-05-16T00:00:00.000Z,104,2021-01-12T19:56:16.893Z
2020-05-17T00:00:00.000Z,157,2021-01-12T19:56:16.893Z
2020-05-18T00:00:00.000Z,285,2021-01-12T19:56:16.893Z
2020-05-19T00:00:00.000Z,160,2021-01-12T19:56:16.893Z
2020-05-20T00:00:00.000Z,119,2021-01-12T19:56:16.893Z
2020-05-21T00:00:00.000Z,132,2021-01-12T19:56:16.893Z
2020-05-22T00:00:00.000Z,164,2021-01-12T19:56:16.893Z
2020-05-23T00:00:00.000Z,47,2021-01-12T19:56:16.893Z
2020-05-24T00:00:00.000Z,120,2021-01-12T19:56:16.893Z
2020-05-25T00:00:00.000Z,136,2021-01-12T19:56:16.893Z
2020-05-26T00:00:00.000Z,94,2021-01-12T19:56:16.893Z
2020-05-27T00:00:00.000Z,64,2021-01-12T19:56:16.893Z
