name,coronaOccupancy,normalOccupancy,isolatedTeam,lastUpdate,date
אוגוסטה ויקטוריה,,,3,2020-10-30T05:04:06.340Z,2020-10-30T05:04:06.340Z
שערי צדק,,92.87469482421875,25,2020-10-30T05:04:06.340Z,2020-10-30T05:04:06.340Z
אסותא אשדוד,,,0,2020-10-30T05:04:06.340Z,2020-10-30T05:04:06.340Z
בני ציון,,82.67898559570312,6,2020-10-30T05:04:06.340Z,2020-10-30T05:04:06.340Z
ברזילי,,70.0,11,2020-10-30T05:04:06.340Z,2020-10-30T05:04:06.340Z
הדסה עין כרם,,110.5263137817383,27,2020-10-30T05:04:06.340Z,2020-10-30T05:04:06.340Z
הכרמל,,76.48262023925781,4,2020-10-30T05:04:06.340Z,2020-10-30T05:04:06.340Z
הלל יפה,,81.35922241210938,12,2020-10-30T05:04:06.340Z,2020-10-30T05:04:06.340Z
המרכזי בעמק,,75.68965148925781,47,2020-10-30T05:04:06.340Z,2020-10-30T05:04:06.340Z
המשפחה הקדושה,,,0,2020-10-30T05:04:06.340Z,2020-10-30T05:04:06.340Z
הסקוטי,,101.4184417724609,6,2020-10-30T05:04:06.340Z,2020-10-30T05:04:06.340Z
השרון ק. גולדה,,60.16597366333008,4,2020-10-30T05:04:06.340Z,2020-10-30T05:04:06.340Z
וולפסון,,62.37188720703125,8,2020-10-30T05:04:06.340Z,2020-10-30T05:04:06.340Z
זיו צפת,,74.9279556274414,3,2020-10-30T05:04:06.340Z,2020-10-30T05:04:06.340Z
יוספטל,,40.0,0,2020-10-30T05:04:06.340Z,2020-10-30T05:04:06.340Z
אל מקאסד,,,0,2020-10-30T05:04:06.340Z,2020-10-30T05:04:06.340Z
מאיר,,81.10540008544922,18,2020-10-30T05:04:06.340Z,2020-10-30T05:04:06.340Z
מעייני הישועה,,88.49840545654297,6,2020-10-30T05:04:06.340Z,2020-10-30T05:04:06.340Z
נהריה,,77.86998748779297,13,2020-10-30T05:04:06.340Z,2020-10-30T05:04:06.340Z
סוראסקי,,98.71903991699219,20,2020-10-30T05:04:06.340Z,2020-10-30T05:04:06.340Z
סורוקה,,68.37532806396484,4,2020-10-30T05:04:06.340Z,2020-10-30T05:04:06.340Z
סנט ג'וזף,,,8,2020-10-30T05:04:06.340Z,2020-10-30T05:04:06.340Z
סנט וינסנט,,60.44776153564453,11,2020-10-30T05:04:06.340Z,2020-10-30T05:04:06.340Z
פוריה,,61.40845108032227,12,2020-10-30T05:04:06.340Z,2020-10-30T05:04:06.340Z
קפלן,,85.01805114746094,3,2020-10-30T05:04:06.340Z,2020-10-30T05:04:06.340Z
רבין ק. בילינסון,,93.41316986083984,14,2020-10-30T05:04:06.340Z,2020-10-30T05:04:06.340Z
"רמב""ם",,88.6597900390625,13,2020-10-30T05:04:06.340Z,2020-10-30T05:04:06.340Z
שיבא,,92.84809875488281,23,2020-10-30T05:04:06.340Z,2020-10-30T05:04:06.340Z
שמיר (אסף הרופא),,59.48372650146484,12,2020-10-30T05:04:06.340Z,2020-10-30T05:04:06.340Z
שניידר,,,0,2020-10-30T05:04:06.340Z,2020-10-30T05:04:06.340Z
לניאדו,,83.28691101074219,13,2020-10-30T05:04:06.340Z,2020-10-30T05:04:06.340Z
