name,coronaOccupancy,normalOccupancy,isolatedTeam,lastUpdate,date
שיבא,,,0,2020-12-06T04:22:58.047Z,2020-12-06T04:22:58.047Z
יוספטל,,44.61538314819336,15,2020-12-06T04:22:58.047Z,2020-12-06T04:22:58.047Z
שמיר,,55.66778945922852,10,2020-12-06T04:22:58.047Z,2020-12-06T04:22:58.047Z
וולפסון,,61.20058441162109,6,2020-12-06T04:22:58.047Z,2020-12-06T04:22:58.047Z
זיו צפת,,56.48414993286133,13,2020-12-06T04:22:58.047Z,2020-12-06T04:22:58.047Z
הלל יפה,,71.45631408691406,21,2020-12-06T04:22:58.047Z,2020-12-06T04:22:58.047Z
נהריה,,71.36929321289062,19,2020-12-06T04:22:58.047Z,2020-12-06T04:22:58.047Z
ברזילי,,62.33333206176758,6,2020-12-06T04:22:58.047Z,2020-12-06T04:22:58.047Z
פוריה,,53.52112579345703,7,2020-12-06T04:22:58.047Z,2020-12-06T04:22:58.047Z
סוראסקי,,88.04440307617188,15,2020-12-06T04:22:58.047Z,2020-12-06T04:22:58.047Z
בני ציון,,72.97921752929688,10,2020-12-06T04:22:58.047Z,2020-12-06T04:22:58.047Z
רבין ק. בילינסון,,77.96407318115234,21,2020-12-06T04:22:58.047Z,2020-12-06T04:22:58.047Z
סורוקה,,62.72806167602539,15,2020-12-06T04:22:58.047Z,2020-12-06T04:22:58.047Z
מאיר,,71.2082290649414,19,2020-12-06T04:22:58.047Z,2020-12-06T04:22:58.047Z
קפלן,,96.389892578125,6,2020-12-06T04:22:58.047Z,2020-12-06T04:22:58.047Z
"רמב""ם",,82.68041229248047,63,2020-12-06T04:22:58.047Z,2020-12-06T04:22:58.047Z
הכרמל,,69.32515716552734,30,2020-12-06T04:22:58.047Z,2020-12-06T04:22:58.047Z
השרון ק. גולדה,,43.15352630615234,2,2020-12-06T04:22:58.047Z,2020-12-06T04:22:58.047Z
הדסה עין כרם,,92.72486877441406,45,2020-12-06T04:22:58.047Z,2020-12-06T04:22:58.047Z
הסקוטי,,96.2406005859375,10,2020-12-06T04:22:58.047Z,2020-12-06T04:22:58.047Z
סנט וינסנט,,57.46268844604492,9,2020-12-06T04:22:58.047Z,2020-12-06T04:22:58.047Z
המשפחה הקדושה,,,0,2020-12-06T04:22:58.047Z,2020-12-06T04:22:58.047Z
סנט ג'וזף,,,4,2020-12-06T04:22:58.047Z,2020-12-06T04:22:58.047Z
שערי צדק,,,22,2020-12-06T04:22:58.047Z,2020-12-06T04:22:58.047Z
אל מקאסד,,,0,2020-12-06T04:22:58.047Z,2020-12-06T04:22:58.047Z
לניאדו,,72.70195007324219,44,2020-12-06T04:22:58.047Z,2020-12-06T04:22:58.047Z
אוגוסטה ויקטוריה,,,4,2020-12-06T04:22:58.047Z,2020-12-06T04:22:58.047Z
מעייני הישועה,,89.13738250732422,1,2020-12-06T04:22:58.047Z,2020-12-06T04:22:58.047Z
אסותא אשדוד,,,5,2020-12-06T04:22:58.047Z,2020-12-06T04:22:58.047Z
שניידר,,,0,2020-12-06T04:22:58.047Z,2020-12-06T04:22:58.047Z
המרכזי בעמק,,68.27586364746094,56,2020-12-06T04:22:58.047Z,2020-12-06T04:22:58.047Z
