date,new_hospitalized,Counthospitalized,Counthospitalized_without_release,CountHardStatus,CountMediumStatus,CountEasyStatus,CountBreath,CountDeath,total_beds,StandardOccupancy,num_visits,patients_home,patients_hotel,lastUpdate
2020-03-02T00:00:00.000Z,1,11,11,0,0,11,0,0,1842,0.005971769815418024,5632,-186,0,2020-09-22T03:16:02.720Z
2020-03-03T00:00:00.000Z,0,10,10,0,0,10,0,0,1842,0.005428881650380022,7857,-183,0,2020-09-22T03:16:02.720Z
2020-03-04T00:00:00.000Z,0,12,11,0,0,12,0,0,1842,0.006514657980456026,7012,-185,0,2020-09-22T03:16:02.720Z
2020-03-05T00:00:00.000Z,1,13,13,1,0,12,0,0,1842,0.007057546145494028,7012,-185,0,2020-09-22T03:16:02.720Z
2020-03-06T00:00:00.000Z,1,16,16,2,0,14,1,0,1842,0.008686210640608035,5177,-184,0,2020-09-22T03:16:02.720Z
2020-03-07T00:00:00.000Z,1,20,20,3,0,17,2,0,1842,0.01085776330076004,4861,-184,0,2020-09-22T03:16:02.720Z
2020-03-08T00:00:00.000Z,2,26,26,5,0,21,4,0,1842,0.01411509229098806,7330,-182,0,2020-09-22T03:16:02.720Z
2020-03-09T00:00:00.000Z,7,39,39,6,0,33,5,0,1842,0.02117263843648208,6205,-191,0,2020-09-22T03:16:02.720Z
2020-03-10T00:00:00.000Z,2,59,59,6,0,53,5,0,1842,0.03203040173724213,6021,-178,0,2020-09-22T03:16:02.720Z
2020-03-11T00:00:00.000Z,10,81,81,7,1,73,6,0,1842,0.04397394136807818,5981,-181,0,2020-09-22T03:16:02.720Z
2020-03-12T00:00:00.000Z,6,103,101,7,1,95,6,0,1842,0.05591748099891422,5983,-179,0,2020-09-22T03:16:02.720Z
2020-03-13T00:00:00.000Z,10,123,122,7,4,112,6,0,1842,0.06677524429967427,4121,-166,0,2020-09-22T03:16:02.720Z
2020-03-14T00:00:00.000Z,20,162,161,6,4,152,4,0,1842,0.08794788273615635,3692,-176,0,2020-09-22T03:16:02.720Z
2020-03-15T00:00:00.000Z,37,202,200,9,6,187,6,0,1842,0.1096634093376764,5489,-176,0,2020-09-22T03:16:02.720Z
2020-03-16T00:00:00.000Z,27,221,215,11,5,205,7,0,1842,0.1199782844733985,4757,-118,0,2020-09-22T03:16:02.720Z
2020-03-17T00:00:00.000Z,46,256,256,12,6,238,7,0,1842,0.1389793702497286,4338,-69,0,2020-09-22T03:16:02.720Z
2020-03-18T00:00:00.000Z,54,306,269,16,11,279,7,0,1842,0.1661237785016287,3920,31,0,2020-09-22T03:16:02.720Z
2020-03-19T00:00:00.000Z,31,295,264,21,11,263,12,0,1842,0.1601520086862106,4053,162,0,2020-09-22T03:16:02.720Z
2020-03-20T00:00:00.000Z,30,289,251,23,14,252,12,1,1842,0.1568946796959826,3207,337,0,2020-09-22T03:16:02.720Z
2020-03-21T00:00:00.000Z,35,277,274,27,21,229,15,0,1842,0.1503800217155266,2905,520,0,2020-09-22T03:16:02.720Z
2020-03-22T00:00:00.000Z,54,324,305,37,32,255,22,0,1842,0.1758957654723127,4523,735,0,2020-09-22T03:16:02.720Z
2020-03-23T00:00:00.000Z,58,352,323,42,36,274,24,0,1842,0.1910966340933768,4053,1056,0,2020-09-22T03:16:02.720Z
2020-03-24T00:00:00.000Z,82,395,343,45,48,302,26,3,1842,0.2144408251900109,3963,1447,0,2020-09-22T03:16:02.720Z
2020-03-25T00:00:00.000Z,81,413,397,49,53,311,28,1,1842,0.2242128121606949,3666,1805,0,2020-09-22T03:16:02.720Z
2020-03-26T00:00:00.000Z,83,464,413,54,65,345,31,5,1842,0.251900108577633,3925,2288,0,2020-09-22T03:16:02.720Z
2020-03-27T00:00:00.000Z,110,515,468,65,69,381,37,2,1842,0.2795874049945711,3267,2651,0,2020-09-22T03:16:02.720Z
2020-03-28T00:00:00.000Z,53,513,485,69,82,362,41,1,1842,0.2785016286644951,2834,3090,0,2020-09-22T03:16:02.720Z
2020-03-29T00:00:00.000Z,70,544,516,79,88,377,50,3,1842,0.2953311617806732,4289,3553,0,2020-09-22T03:16:02.720Z
2020-03-30T00:00:00.000Z,121,619,570,87,104,428,54,1,1842,0.3360477741585233,3886,4005,0,2020-09-22T03:16:02.720Z
2020-03-31T00:00:00.000Z,111,668,628,97,115,456,64,4,1842,0.3626492942453855,4005,4614,0,2020-09-22T03:16:02.720Z
2020-04-01T00:00:00.000Z,147,769,728,111,143,515,72,8,1842,0.4174809989142237,4088,4454,689,2020-09-22T03:16:02.720Z
2020-04-02T00:00:00.000Z,115,813,728,113,145,555,79,10,1842,0.4413680781758957,4284,5034,720,2020-09-22T03:16:02.720Z
2020-04-03T00:00:00.000Z,97,804,719,130,159,515,93,5,1842,0.4364820846905538,3494,5544,717,2020-09-22T03:16:02.720Z
2020-04-04T00:00:00.000Z,73,791,752,139,171,481,107,7,1842,0.4294245385450597,3155,5870,718,2020-09-22T03:16:02.720Z
2020-04-05T00:00:00.000Z,100,827,743,135,194,498,107,6,1842,0.4489685124864278,4495,6371,693,2020-09-22T03:16:02.720Z
2020-04-06T00:00:00.000Z,93,814,703,147,209,458,110,7,1842,0.4419109663409337,4088,6648,796,2020-09-22T03:16:02.720Z
2020-04-07T00:00:00.000Z,72,748,656,159,201,388,106,7,1842,0.4060803474484256,4313,6900,819,2020-09-22T03:16:02.720Z
2020-04-08T00:00:00.000Z,57,695,622,166,193,336,115,9,1842,0.3773072747014115,3511,7067,859,2020-09-22T03:16:02.720Z
2020-04-09T00:00:00.000Z,65,665,634,166,187,312,117,9,1842,0.3610206297502714,3363,7182,944,2020-09-22T03:16:02.720Z
