section,male,female,lastUpdate,date
0,2,3,2021-03-20T16:11:20.910Z,2021-03-20T16:11:20.910Z
10,3,1,2021-03-20T16:11:20.910Z,2021-03-20T16:11:20.910Z
20,18,13,2021-03-20T16:11:20.910Z,2021-03-20T16:11:20.910Z
30,26,18,2021-03-20T16:11:20.910Z,2021-03-20T16:11:20.910Z
40,58,47,2021-03-20T16:11:20.910Z,2021-03-20T16:11:20.910Z
50,219,103,2021-03-20T16:11:20.910Z,2021-03-20T16:11:20.910Z
60,585,264,2021-03-20T16:11:20.910Z,2021-03-20T16:11:20.910Z
70,988,538,2021-03-20T16:11:20.910Z,2021-03-20T16:11:20.910Z
80,1075,940,2021-03-20T16:11:20.910Z,2021-03-20T16:11:20.910Z
90,506,675,2021-03-20T16:11:20.910Z,2021-03-20T16:11:20.910Z
