amount,lastUpdate
0,2020-12-30T08:30:50.383Z
0,2020-12-30T08:30:50.383Z
0,2020-12-30T08:30:50.383Z
1,2020-12-30T08:30:50.383Z
2,2020-12-30T08:30:50.383Z
3,2020-12-30T08:30:50.383Z
5,2020-12-30T08:30:50.383Z
5,2020-12-30T08:30:50.383Z
6,2020-12-30T08:30:50.383Z
7,2020-12-30T08:30:50.383Z
7,2020-12-30T08:30:50.383Z
7,2020-12-30T08:30:50.383Z
6,2020-12-30T08:30:50.383Z
9,2020-12-30T08:30:50.383Z
11,2020-12-30T08:30:50.383Z
12,2020-12-30T08:30:50.383Z
16,2020-12-30T08:30:50.383Z
21,2020-12-30T08:30:50.383Z
23,2020-12-30T08:30:50.383Z
27,2020-12-30T08:30:50.383Z
38,2020-12-30T08:30:50.383Z
44,2020-12-30T08:30:50.383Z
48,2020-12-30T08:30:50.383Z
52,2020-12-30T08:30:50.383Z
56,2020-12-30T08:30:50.383Z
67,2020-12-30T08:30:50.383Z
70,2020-12-30T08:30:50.383Z
80,2020-12-30T08:30:50.383Z
89,2020-12-30T08:30:50.383Z
99,2020-12-30T08:30:50.383Z
111,2020-12-30T08:30:50.383Z
113,2020-12-30T08:30:50.383Z
131,2020-12-30T08:30:50.383Z
140,2020-12-30T08:30:50.383Z
135,2020-12-30T08:30:50.383Z
147,2020-12-30T08:30:50.383Z
160,2020-12-30T08:30:50.383Z
166,2020-12-30T08:30:50.383Z
166,2020-12-30T08:30:50.383Z
170,2020-12-30T08:30:50.383Z
182,2020-12-30T08:30:50.383Z
177,2020-12-30T08:30:50.383Z
192,2020-12-30T08:30:50.383Z
178,2020-12-30T08:30:50.383Z
179,2020-12-30T08:30:50.383Z
182,2020-12-30T08:30:50.383Z
165,2020-12-30T08:30:50.383Z
174,2020-12-30T08:30:50.383Z
157,2020-12-30T08:30:50.383Z
154,2020-12-30T08:30:50.383Z
145,2020-12-30T08:30:50.383Z
149,2020-12-30T08:30:50.383Z
146,2020-12-30T08:30:50.383Z
144,2020-12-30T08:30:50.383Z
136,2020-12-30T08:30:50.383Z
142,2020-12-30T08:30:50.383Z
132,2020-12-30T08:30:50.383Z
127,2020-12-30T08:30:50.383Z
122,2020-12-30T08:30:50.383Z
112,2020-12-30T08:30:50.383Z
109,2020-12-30T08:30:50.383Z
111,2020-12-30T08:30:50.383Z
101,2020-12-30T08:30:50.383Z
97,2020-12-30T08:30:50.383Z
91,2020-12-30T08:30:50.383Z
88,2020-12-30T08:30:50.383Z
84,2020-12-30T08:30:50.383Z
78,2020-12-30T08:30:50.383Z
78,2020-12-30T08:30:50.383Z
74,2020-12-30T08:30:50.383Z
69,2020-12-30T08:30:50.383Z
65,2020-12-30T08:30:50.383Z
61,2020-12-30T08:30:50.383Z
61,2020-12-30T08:30:50.383Z
61,2020-12-30T08:30:50.383Z
60,2020-12-30T08:30:50.383Z
55,2020-12-30T08:30:50.383Z
52,2020-12-30T08:30:50.383Z
51,2020-12-30T08:30:50.383Z
46,2020-12-30T08:30:50.383Z
47,2020-12-30T08:30:50.383Z
46,2020-12-30T08:30:50.383Z
46,2020-12-30T08:30:50.383Z
43,2020-12-30T08:30:50.383Z
41,2020-12-30T08:30:50.383Z
36,2020-12-30T08:30:50.383Z
40,2020-12-30T08:30:50.383Z
36,2020-12-30T08:30:50.383Z
39,2020-12-30T08:30:50.383Z
35,2020-12-30T08:30:50.383Z
35,2020-12-30T08:30:50.383Z
32,2020-12-30T08:30:50.383Z
29,2020-12-30T08:30:50.383Z
28,2020-12-30T08:30:50.383Z
30,2020-12-30T08:30:50.383Z
29,2020-12-30T08:30:50.383Z
29,2020-12-30T08:30:50.383Z
29,2020-12-30T08:30:50.383Z
30,2020-12-30T08:30:50.383Z
31,2020-12-30T08:30:50.383Z
32,2020-12-30T08:30:50.383Z
35,2020-12-30T08:30:50.383Z
35,2020-12-30T08:30:50.383Z
35,2020-12-30T08:30:50.383Z
31,2020-12-30T08:30:50.383Z
36,2020-12-30T08:30:50.383Z
38,2020-12-30T08:30:50.383Z
36,2020-12-30T08:30:50.383Z
40,2020-12-30T08:30:50.383Z
39,2020-12-30T08:30:50.383Z
41,2020-12-30T08:30:50.383Z
45,2020-12-30T08:30:50.383Z
43,2020-12-30T08:30:50.383Z
40,2020-12-30T08:30:50.383Z
45,2020-12-30T08:30:50.383Z
44,2020-12-30T08:30:50.383Z
45,2020-12-30T08:30:50.383Z
40,2020-12-30T08:30:50.383Z
39,2020-12-30T08:30:50.383Z
44,2020-12-30T08:30:50.383Z
56,2020-12-30T08:30:50.383Z
59,2020-12-30T08:30:50.383Z
72,2020-12-30T08:30:50.383Z
83,2020-12-30T08:30:50.383Z
85,2020-12-30T08:30:50.383Z
94,2020-12-30T08:30:50.383Z
90,2020-12-30T08:30:50.383Z
93,2020-12-30T08:30:50.383Z
113,2020-12-30T08:30:50.383Z
126,2020-12-30T08:30:50.383Z
130,2020-12-30T08:30:50.383Z
136,2020-12-30T08:30:50.383Z
151,2020-12-30T08:30:50.383Z
184,2020-12-30T08:30:50.383Z
190,2020-12-30T08:30:50.383Z
209,2020-12-30T08:30:50.383Z
209,2020-12-30T08:30:50.383Z
219,2020-12-30T08:30:50.383Z
236,2020-12-30T08:30:50.383Z
271,2020-12-30T08:30:50.383Z
265,2020-12-30T08:30:50.383Z
257,2020-12-30T08:30:50.383Z
285,2020-12-30T08:30:50.383Z
311,2020-12-30T08:30:50.383Z
329,2020-12-30T08:30:50.383Z
322,2020-12-30T08:30:50.383Z
312,2020-12-30T08:30:50.383Z
317,2020-12-30T08:30:50.383Z
323,2020-12-30T08:30:50.383Z
336,2020-12-30T08:30:50.383Z
