name,coronaOccupancy,normalOccupancy,isolatedTeam,lastUpdate,date
שיבא,,102.4683532714844,13,2020-11-18T05:34:38.553Z,2020-11-18T05:34:38.553Z
יוספטל,,41.53845977783203,0,2020-11-18T05:34:38.553Z,2020-11-18T05:34:38.553Z
שמיר,,64.6464614868164,10,2020-11-18T05:34:38.553Z,2020-11-18T05:34:38.553Z
וולפסון,,63.2503662109375,9,2020-11-18T05:34:38.553Z,2020-11-18T05:34:38.553Z
זיו צפת,,80.40345764160156,9,2020-11-18T05:34:38.553Z,2020-11-18T05:34:38.553Z
הלל יפה,,81.74757385253906,2,2020-11-18T05:34:38.553Z,2020-11-18T05:34:38.553Z
נהריה,,71.64591979980469,11,2020-11-18T05:34:38.553Z,2020-11-18T05:34:38.553Z
ברזילי,,78.33333587646484,3,2020-11-18T05:34:38.553Z,2020-11-18T05:34:38.553Z
פוריה,,57.74647903442383,4,2020-11-18T05:34:38.553Z,2020-11-18T05:34:38.553Z
סוראסקי,,100.4269866943359,9,2020-11-18T05:34:38.553Z,2020-11-18T05:34:38.553Z
בני ציון,,80.36951446533203,11,2020-11-18T05:34:38.553Z,2020-11-18T05:34:38.553Z
רבין ק. בילינסון,,97.2455062866211,19,2020-11-18T05:34:38.553Z,2020-11-18T05:34:38.553Z
סורוקה,,74.63075256347656,5,2020-11-18T05:34:38.553Z,2020-11-18T05:34:38.553Z
מאיר,,73.26477813720703,6,2020-11-18T05:34:38.553Z,2020-11-18T05:34:38.553Z
קפלן,,86.6426010131836,10,2020-11-18T05:34:38.553Z,2020-11-18T05:34:38.553Z
"רמב""ם",,86.59793853759766,53,2020-11-18T05:34:38.553Z,2020-11-18T05:34:38.553Z
הכרמל,,78.32310485839844,8,2020-11-18T05:34:38.553Z,2020-11-18T05:34:38.553Z
השרון ק. גולדה,,55.18672180175781,2,2020-11-18T05:34:38.553Z,2020-11-18T05:34:38.553Z
הדסה עין כרם,,108.367073059082,19,2020-11-18T05:34:38.553Z,2020-11-18T05:34:38.553Z
הסקוטי,,115.7894744873047,1,2020-11-18T05:34:38.553Z,2020-11-18T05:34:38.553Z
המשפחה הקדושה,,,0,2020-11-18T05:34:38.553Z,2020-11-18T05:34:38.553Z
סנט ג'וזף,,,3,2020-11-18T05:34:38.553Z,2020-11-18T05:34:38.553Z
שערי צדק,,102.4570007324219,14,2020-11-18T05:34:38.553Z,2020-11-18T05:34:38.553Z
אל מקאסד,,,0,2020-11-18T05:34:38.553Z,2020-11-18T05:34:38.553Z
לניאדו,,82.17269897460938,3,2020-11-18T05:34:38.553Z,2020-11-18T05:34:38.553Z
אוגוסטה ויקטוריה,,,0,2020-11-18T05:34:38.553Z,2020-11-18T05:34:38.553Z
מעייני הישועה,,99.04153442382812,1,2020-11-18T05:34:38.553Z,2020-11-18T05:34:38.553Z
אסותא אשדוד,,,1,2020-11-18T05:34:38.553Z,2020-11-18T05:34:38.553Z
שניידר,,,0,2020-11-18T05:34:38.553Z,2020-11-18T05:34:38.553Z
סנט וינסנט,,67.16417694091797,8,2020-11-18T05:34:38.553Z,2020-11-18T05:34:38.553Z
המרכזי בעמק,,72.4137954711914,21,2020-11-18T05:34:38.553Z,2020-11-18T05:34:38.553Z
