date,amount,recovered,lastUpdate
2020-02-12T00:00:00.000Z,0,0,2021-01-10T19:59:05.227Z
2020-02-13T00:00:00.000Z,0,0,2021-01-10T19:59:05.227Z
2020-02-14T00:00:00.000Z,0,0,2021-01-10T19:59:05.227Z
2020-02-15T00:00:00.000Z,0,0,2021-01-10T19:59:05.227Z
2020-02-16T00:00:00.000Z,0,0,2021-01-10T19:59:05.227Z
2020-02-17T00:00:00.000Z,0,0,2021-01-10T19:59:05.227Z
2020-02-18T00:00:00.000Z,0,0,2021-01-10T19:59:05.227Z
2020-02-19T00:00:00.000Z,0,0,2021-01-10T19:59:05.227Z
2020-02-20T00:00:00.000Z,0,0,2021-01-10T19:59:05.227Z
2020-02-21T00:00:00.000Z,1,0,2021-01-10T19:59:05.227Z
2020-02-22T00:00:00.000Z,0,0,2021-01-10T19:59:05.227Z
2020-02-23T00:00:00.000Z,0,0,2021-01-10T19:59:05.227Z
2020-02-24T00:00:00.000Z,1,0,2021-01-10T19:59:05.227Z
2020-02-25T00:00:00.000Z,0,0,2021-01-10T19:59:05.227Z
2020-02-26T00:00:00.000Z,0,0,2021-01-10T19:59:05.227Z
2020-02-27T00:00:00.000Z,1,0,2021-01-10T19:59:05.227Z
2020-02-28T00:00:00.000Z,3,0,2021-01-10T19:59:05.227Z
2020-02-29T00:00:00.000Z,0,0,2021-01-10T19:59:05.227Z
2020-03-01T00:00:00.000Z,1,0,2021-01-10T19:59:05.227Z
2020-03-02T00:00:00.000Z,5,0,2021-01-10T19:59:05.227Z
2020-03-03T00:00:00.000Z,3,0,2021-01-10T19:59:05.227Z
2020-03-04T00:00:00.000Z,0,0,2021-01-10T19:59:05.227Z
2020-03-05T00:00:00.000Z,2,0,2021-01-10T19:59:05.227Z
2020-03-06T00:00:00.000Z,4,0,2021-01-10T19:59:05.227Z
2020-03-07T00:00:00.000Z,4,0,2021-01-10T19:59:05.227Z
2020-03-08T00:00:00.000Z,9,0,2021-01-10T19:59:05.227Z
2020-03-09T00:00:00.000Z,4,0,2021-01-10T19:59:05.227Z
