amount,lastUpdate
0,2020-12-31T08:25:58.400Z
0,2020-12-31T08:25:58.400Z
0,2020-12-31T08:25:58.400Z
1,2020-12-31T08:25:58.400Z
2,2020-12-31T08:25:58.400Z
3,2020-12-31T08:25:58.400Z
5,2020-12-31T08:25:58.400Z
5,2020-12-31T08:25:58.400Z
6,2020-12-31T08:25:58.400Z
7,2020-12-31T08:25:58.400Z
7,2020-12-31T08:25:58.400Z
7,2020-12-31T08:25:58.400Z
6,2020-12-31T08:25:58.400Z
9,2020-12-31T08:25:58.400Z
11,2020-12-31T08:25:58.400Z
12,2020-12-31T08:25:58.400Z
16,2020-12-31T08:25:58.400Z
21,2020-12-31T08:25:58.400Z
23,2020-12-31T08:25:58.400Z
27,2020-12-31T08:25:58.400Z
38,2020-12-31T08:25:58.400Z
44,2020-12-31T08:25:58.400Z
48,2020-12-31T08:25:58.400Z
52,2020-12-31T08:25:58.400Z
56,2020-12-31T08:25:58.400Z
66,2020-12-31T08:25:58.400Z
70,2020-12-31T08:25:58.400Z
80,2020-12-31T08:25:58.400Z
89,2020-12-31T08:25:58.400Z
99,2020-12-31T08:25:58.400Z
111,2020-12-31T08:25:58.400Z
113,2020-12-31T08:25:58.400Z
131,2020-12-31T08:25:58.400Z
140,2020-12-31T08:25:58.400Z
135,2020-12-31T08:25:58.400Z
147,2020-12-31T08:25:58.400Z
160,2020-12-31T08:25:58.400Z
166,2020-12-31T08:25:58.400Z
166,2020-12-31T08:25:58.400Z
170,2020-12-31T08:25:58.400Z
182,2020-12-31T08:25:58.400Z
177,2020-12-31T08:25:58.400Z
192,2020-12-31T08:25:58.400Z
178,2020-12-31T08:25:58.400Z
179,2020-12-31T08:25:58.400Z
182,2020-12-31T08:25:58.400Z
165,2020-12-31T08:25:58.400Z
174,2020-12-31T08:25:58.400Z
157,2020-12-31T08:25:58.400Z
154,2020-12-31T08:25:58.400Z
145,2020-12-31T08:25:58.400Z
149,2020-12-31T08:25:58.400Z
146,2020-12-31T08:25:58.400Z
144,2020-12-31T08:25:58.400Z
136,2020-12-31T08:25:58.400Z
142,2020-12-31T08:25:58.400Z
132,2020-12-31T08:25:58.400Z
127,2020-12-31T08:25:58.400Z
122,2020-12-31T08:25:58.400Z
112,2020-12-31T08:25:58.400Z
109,2020-12-31T08:25:58.400Z
111,2020-12-31T08:25:58.400Z
101,2020-12-31T08:25:58.400Z
97,2020-12-31T08:25:58.400Z
91,2020-12-31T08:25:58.400Z
88,2020-12-31T08:25:58.400Z
84,2020-12-31T08:25:58.400Z
78,2020-12-31T08:25:58.400Z
78,2020-12-31T08:25:58.400Z
74,2020-12-31T08:25:58.400Z
69,2020-12-31T08:25:58.400Z
65,2020-12-31T08:25:58.400Z
61,2020-12-31T08:25:58.400Z
61,2020-12-31T08:25:58.400Z
61,2020-12-31T08:25:58.400Z
60,2020-12-31T08:25:58.400Z
55,2020-12-31T08:25:58.400Z
52,2020-12-31T08:25:58.400Z
51,2020-12-31T08:25:58.400Z
46,2020-12-31T08:25:58.400Z
47,2020-12-31T08:25:58.400Z
46,2020-12-31T08:25:58.400Z
46,2020-12-31T08:25:58.400Z
43,2020-12-31T08:25:58.400Z
41,2020-12-31T08:25:58.400Z
36,2020-12-31T08:25:58.400Z
40,2020-12-31T08:25:58.400Z
36,2020-12-31T08:25:58.400Z
39,2020-12-31T08:25:58.400Z
35,2020-12-31T08:25:58.400Z
35,2020-12-31T08:25:58.400Z
32,2020-12-31T08:25:58.400Z
29,2020-12-31T08:25:58.400Z
28,2020-12-31T08:25:58.400Z
30,2020-12-31T08:25:58.400Z
29,2020-12-31T08:25:58.400Z
29,2020-12-31T08:25:58.400Z
29,2020-12-31T08:25:58.400Z
30,2020-12-31T08:25:58.400Z
31,2020-12-31T08:25:58.400Z
32,2020-12-31T08:25:58.400Z
35,2020-12-31T08:25:58.400Z
35,2020-12-31T08:25:58.400Z
35,2020-12-31T08:25:58.400Z
31,2020-12-31T08:25:58.400Z
36,2020-12-31T08:25:58.400Z
38,2020-12-31T08:25:58.400Z
36,2020-12-31T08:25:58.400Z
40,2020-12-31T08:25:58.400Z
39,2020-12-31T08:25:58.400Z
41,2020-12-31T08:25:58.400Z
45,2020-12-31T08:25:58.400Z
43,2020-12-31T08:25:58.400Z
40,2020-12-31T08:25:58.400Z
45,2020-12-31T08:25:58.400Z
44,2020-12-31T08:25:58.400Z
45,2020-12-31T08:25:58.400Z
40,2020-12-31T08:25:58.400Z
39,2020-12-31T08:25:58.400Z
44,2020-12-31T08:25:58.400Z
56,2020-12-31T08:25:58.400Z
59,2020-12-31T08:25:58.400Z
72,2020-12-31T08:25:58.400Z
83,2020-12-31T08:25:58.400Z
85,2020-12-31T08:25:58.400Z
94,2020-12-31T08:25:58.400Z
90,2020-12-31T08:25:58.400Z
93,2020-12-31T08:25:58.400Z
113,2020-12-31T08:25:58.400Z
126,2020-12-31T08:25:58.400Z
131,2020-12-31T08:25:58.400Z
136,2020-12-31T08:25:58.400Z
151,2020-12-31T08:25:58.400Z
184,2020-12-31T08:25:58.400Z
189,2020-12-31T08:25:58.400Z
209,2020-12-31T08:25:58.400Z
209,2020-12-31T08:25:58.400Z
219,2020-12-31T08:25:58.400Z
236,2020-12-31T08:25:58.400Z
271,2020-12-31T08:25:58.400Z
265,2020-12-31T08:25:58.400Z
257,2020-12-31T08:25:58.400Z
285,2020-12-31T08:25:58.400Z
311,2020-12-31T08:25:58.400Z
329,2020-12-31T08:25:58.400Z
322,2020-12-31T08:25:58.400Z
312,2020-12-31T08:25:58.400Z
317,2020-12-31T08:25:58.400Z
323,2020-12-31T08:25:58.400Z
336,2020-12-31T08:25:58.400Z
319,2020-12-31T08:25:58.400Z
318,2020-12-31T08:25:58.400Z
338,2020-12-31T08:25:58.400Z
350,2020-12-31T08:25:58.400Z
329,2020-12-31T08:25:58.400Z
342,2020-12-31T08:25:58.400Z
355,2020-12-31T08:25:58.400Z
357,2020-12-31T08:25:58.400Z
367,2020-12-31T08:25:58.400Z
388,2020-12-31T08:25:58.400Z
387,2020-12-31T08:25:58.400Z
392,2020-12-31T08:25:58.400Z
373,2020-12-31T08:25:58.400Z
371,2020-12-31T08:25:58.400Z
372,2020-12-31T08:25:58.400Z
369,2020-12-31T08:25:58.400Z
383,2020-12-31T08:25:58.400Z
375,2020-12-31T08:25:58.400Z
392,2020-12-31T08:25:58.400Z
399,2020-12-31T08:25:58.400Z
383,2020-12-31T08:25:58.400Z
394,2020-12-31T08:25:58.400Z
