section,male,female,lastUpdate,date
0,1,1,2020-12-06T19:38:38.523Z,2020-12-06T19:38:38.523Z
10,1,2,2020-12-06T19:38:38.523Z,2020-12-06T19:38:38.523Z
20,1,5,2020-12-06T19:38:38.523Z,2020-12-06T19:38:38.523Z
30,12,7,2020-12-06T19:38:38.523Z,2020-12-06T19:38:38.523Z
40,21,11,2020-12-06T19:38:38.523Z,2020-12-06T19:38:38.523Z
50,100,56,2020-12-06T19:38:38.523Z,2020-12-06T19:38:38.523Z
60,267,111,2020-12-06T19:38:38.523Z,2020-12-06T19:38:38.523Z
70,485,245,2020-12-06T19:38:38.523Z,2020-12-06T19:38:38.523Z
80,540,449,2020-12-06T19:38:38.523Z,2020-12-06T19:38:38.523Z
90,240,362,2020-12-06T19:38:38.523Z,2020-12-06T19:38:38.523Z
