section,male,female,lastUpdate,date
0,0,0,2020-12-10T17:11:36.463Z,2020-12-10T17:11:36.463Z
10,2,0,2020-12-10T17:11:36.463Z,2020-12-10T17:11:36.463Z
20,2,1,2020-12-10T17:11:36.463Z,2020-12-10T17:11:36.463Z
30,7,1,2020-12-10T17:11:36.463Z,2020-12-10T17:11:36.463Z
40,13,9,2020-12-10T17:11:36.463Z,2020-12-10T17:11:36.463Z
50,30,11,2020-12-10T17:11:36.463Z,2020-12-10T17:11:36.463Z
60,54,17,2020-12-10T17:11:36.463Z,2020-12-10T17:11:36.463Z
70,62,33,2020-12-10T17:11:36.463Z,2020-12-10T17:11:36.463Z
80,32,31,2020-12-10T17:11:36.463Z,2020-12-10T17:11:36.463Z
90,4,5,2020-12-10T17:11:36.463Z,2020-12-10T17:11:36.463Z
