section,male,female,lastUpdate,date
0,0,1,2021-02-24T18:03:57.540Z,2021-02-24T18:03:57.540Z
10,0,3,2021-02-24T18:03:57.540Z,2021-02-24T18:03:57.540Z
20,4,4,2021-02-24T18:03:57.540Z,2021-02-24T18:03:57.540Z
30,13,9,2021-02-24T18:03:57.540Z,2021-02-24T18:03:57.540Z
40,24,11,2021-02-24T18:03:57.540Z,2021-02-24T18:03:57.540Z
50,35,17,2021-02-24T18:03:57.540Z,2021-02-24T18:03:57.540Z
60,35,22,2021-02-24T18:03:57.540Z,2021-02-24T18:03:57.540Z
70,34,15,2021-02-24T18:03:57.540Z,2021-02-24T18:03:57.540Z
80,6,12,2021-02-24T18:03:57.540Z,2021-02-24T18:03:57.540Z
90,2,2,2021-02-24T18:03:57.540Z,2021-02-24T18:03:57.540Z
